Stock,Sales_Growth,Operating_Profit_Growth,Growth Indicator,Sector,Industry,PB Ratio,Industry PE,Value Indicator,EPS,PE Ratio,D/E Ratio,Beta,Buffett Filter,Lynch Filter
AHLEAST.NS,,,0,Consumer Cyclical,Lodging,0.9913035,34.09333187721774,1,10.132202617440738,13.79265745825551,135.32,-0.549,0,0
AHLUCONT.NS,,,0,Industrials,Engineering & Construction,3.3934257,9.016105709649487,0,30.166972036615732,30.200246776315364,4.233,0.577,0,0
AIAENG.NS,,,0,Industrials,Specialty Industrial Machinery,4.7199817,33.12820821527111,1,113.66603657935457,30.80955495052492,7.072,0.277,0,0
AIRAN.NS,22.873048561057548,21.90800290314458,0,Technology,Information Technology Services,2.3441503,28.639208088017433,1,1.4726763717805151,18.639533115352442,1.486,0.694,0,0
AIROLAM.NS,10.941395365889427,12.212340489166557,0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2.051741,180.74936713010402,1,1.0606585788561524,89.72727124183007,129.531,-0.79,0,0
AJANTPHARM.NS,7.286229443789638,47.16398975218012,0,Healthcare,Drug Manufacturers - Specialty & Generic,8.4712925,40.83915690002742,1,73.68307621365442,34.896751494795836,1.251,0.243,0,0
AJMERA.NS,,24.60801712626085,0,Real Estate,Real Estate - Development,2.9906983,13.948029797161027,0,32.00022439537489,24.32,51.111,0.597,0,0
AJOONI.NS,119.83247228199201,6.181141388473205,0,Consumer Defensive,Packaged Foods,1.1747491,28.10693201856854,1,0.2760351569968824,20.35972541013489,2.36,1.229,0,0
AKASH.NS,-20.11010924224033,-10.431038988188565,0,Industrials,Engineering & Construction,0.5845952,9.016105709649487,0,0.9746478873239437,29.272109826589595,105.015,1.018,0,0
AKG.NS,4.397012521051474,0.40191254937287924,0,Industrials,Industrial Distribution,0.78403383,57.45986013433426,0,0.23894941560771132,57.45986013433426,25.998,0.742,0,0
AKSHARCHEM.NS,,,0,Basic Materials,Specialty Chemicals,0.7585542,36.470734724695,0,5.93842974692211,42.01278968220694,25.318,0.178,0,0
AKSHOPTFBR.NS,,,0,Technology,Communication Equipment,12.4895115,22.58521439572265,1,-1.5959999508291436,-5.595238267620712,853.513,-0.174,0,0
AKZOINDIA.NS,12.013098931402965,14.650962367135879,0,Basic Materials,Specialty Chemicals,11.092773,36.470734724695,1,94.31207225248845,34.35085162084878,4.668,0.296,0,0
ALANKIT.NS,,,0,Technology,Information Technology Services,1.2977438,28.639208088017433,1,0.7322962563644071,19.950941812175174,3.61,0.729,0,0
ALBERTDAVD.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,1.1720732,40.83915690002742,1,30.1389833121903,26.74940928328915,3.138,0.039,0,0
ALEMBICLTD.NS,9.977190746603382,204.11519456454604,0,Real Estate,Real Estate - Development,1.2285683,13.948029797161027,1,12.098979398867522,9.262764759355642,0.618,0.423,0,0
ALICON.NS,22.62164710553088,18.326201987260976,0,Industrials,Metal Fabrication,2.4833302,36.15929297233847,1,28.19450565594241,32.12505340766987,61.621,0.382,0,0
ALKALI.NS,,-41.25558154369551,0,Basic Materials,Specialty Chemicals,2.3082197,36.470734724695,1,-5.695850724281856,-17.73396194696369,,0.031,0,0
ALKEM.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,4.8483524,40.83915690002742,1,181.1132052356459,26.847849076898697,11.106,0.422,0,0
ALKYLAMINE.NS,-4.311594444555605,-6.184732803521883,0,Basic Materials,Specialty Chemicals,7.224707,36.470734724695,0,36.39481918946191,54.44730992299504,0.394,0.577,0,0
ALLCARGO.NS,-3.3545401966454587,-12.3450992669119,0,Industrials,Integrated Freight & Logistics,1.4605584,17.761163324158403,1,0.34616018044839764,11.64,,0.268,0,0
ALMONDZ.NS,,,0,Financial Services,Capital Markets,1.4038832,17.651675672503675,0,0.9980016471115932,20.430828004154645,22.0,0.202,0,0
ALOKINDS.NS,72.84635666347076,-68.4698227507292,0,Consumer Cyclical,Textile Manufacturing,-0.46469653,-84.48168306527056,0,-1.6442911302784753,-11.74366244785963,,-0.176,0,0
ALPA.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,1.2918879,40.83915690002742,1,9.269270267958138,5.29,,0.691,0,0
ALPHAGEO.NS,-23.530643910007758,-16.07471345691241,0,Energy,Oil & Gas Equipment & Services,0.6149262,7.503639587648968,1,-9.602546517784617,-26.992839818056872,,0.4,0,0
ALPSINDUS.NS,-6.234101361577412,-43.37626117627758,0,Consumer Cyclical,Textile Manufacturing,-0.010236758,-84.48168306527056,0,-16.336052318729053,-0.1432414609322243,,0.0,0,0
AMBER.NS,30.763751706857377,53.459335929962556,0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9.464169,180.74936713010402,1,71.88227406744996,88.98577685505488,89.114,-0.255,0,0
AMBICAAGAR.NS,,,0,Consumer Defensive,Household & Personal Products,0.028265744,45.6878563693329,0,0.28444351298799586,103.5706516577978,75.237,0.407,0,0
AMBIKCO.NS,,,0,Consumer Cyclical,Textile Manufacturing,1.0681218,-84.48168306527056,0,114.82969432314411,14.68870930940067,5.61,0.149,0,0
AMBUJACEM.NS,19.044976833062773,-2.5720494963792224,0,Basic Materials,Building Materials,2.5586133,35.82604280772175,1,16.919315179801366,32.811611705345484,1.236,-0.069,0,0
AMDIND.NS,,,0,Consumer Cyclical,Packaging & Containers,0.68026745,25.873201584456336,0,0.5212686586632024,95.82390801721549,52.526,-0.109,0,0
AMIORG.NS,30.74231959758764,29.01207629391117,0,Basic Materials,Specialty Chemicals,7.205466,36.470734724695,0,19.38631247696317,48.28,0.98,-0.065,0,0
AMJLAND.NS,,,0,Real Estate,Real Estate - Development,1.1218482,13.948029797161027,1,4.991926634146341,12.442089908763514,,0.098,0,0
AMRUTANJAN.NS,,,0,Healthcare,Drug Manufacturers - Specialty & Generic,6.3239098,40.83915690002742,1,17.591018371450026,40.61447637162055,0.636,0.0,0,0
ANANDRATHI.NS,34.14819970282412,32.96951957776445,0,Financial Services,Asset Management,24.36747,19.616402045579957,0,36.11456742061609,54.77568032202816,11.533,0.394,0,0
ANANTRAJ.NS,163.22540693559802,169.73484208748522,0,Real Estate,Real Estate - Development,4.7315006,13.948029797161027,0,12.396980825598733,46.446792819992176,11.497,0.293,0,0
ANDHRAPAP.NS,-9.092638049981394,-18.050778070471797,0,Basic Materials,Paper & Paper Products,0.8006392,9.884720251192684,0,4.471244697007795,17.25693967311525,14.557,-0.224,0,0
ANDHRSUGAR.NS,,,0,Basic Materials,Chemicals,0.65066755,18.505374833469585,0,3.342826496900343,22.92072294839304,1.43,0.321,0,0
ANDREWYU.NS,,,0,,,5.6607146,0.0,1,-0.05804876058257354,-546.0926242328154,31.103,0.68,0,0
ANGELONE.NS,21.897872136106468,34.43972069922528,0,Financial Services,Capital Markets,5.1673236,17.651675672503675,0,129.544217324974,24.83321962515586,60.539,-0.097,0,0
ANIKINDS.NS,,-23.036858827538946,0,Consumer Defensive,Food Distribution,0.8048797,-280.9180028420813,1,-0.1870394724989641,-592.602184550183,0.947,0.344,0,0
ANMOL.NS,,,0,Energy,Thermal Coal,0.94432926,17.3931003482234,1,1.2281645002477413,14.460603605150217,204.345,0.287,0,0
ANSALAPI.NS,-6.895281087087701,-80.58954188255967,0,Real Estate,Real Estate - Development,-0.07461079,13.948029797161027,1,-10.105448650573928,-0.3770243293239252,,0.121,0,0
ANSALHSG.NS,,,0,,,0.26256564,0.0,0,3.047024709610715,1.7229922630560928,252.534,-0.504,0,0
ANUP.NS,22.660883031662543,35.43713221843446,0,Industrials,Specialty Industrial Machinery,9.149416,33.12820821527111,0,59.07307537512796,47.337978973368166,5.297,0.236,0,0
ANURAS.NS,,,0,Basic Materials,Specialty Chemicals,4.012555,36.470734724695,1,8.491599130363591,21.98,44.566,0.275,0,0
APARINDS.NS,54.9770186577338,40.39051526576477,0,Industrials,Electrical Equipment & Parts,7.228254,43.0695222740137,1,204.46471949273433,39.63519975527111,12.983,-0.349,0,0
APCL.NS,,,0,Basic Materials,Building Materials,1.8868599,35.82604280772175,1,-27.513378814494057,-4.987391804008908,214.341,0.19,0,0
APCOTEXIND.NS,-11.320530817429288,-8.595471805866476,0,Basic Materials,Specialty Chemicals,3.517376,36.470734724695,1,10.428122596200213,35.97004125523788,34.227,0.008,0,0
APEX.NS,,,0,Consumer Defensive,Farm Products,1.4022928,14.460399135399621,0,1.24048,32.1,14.692,-0.166,0,0
